[2026-08-16 00:09:53.673 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-15 16:10:00.802 (UTC)] info/application	[Sensor] Updated distance: 23.419663372179336 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:01.804 (UTC)] info/application	[Sensor] Updated distance: 2.228503711628031 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:02.806 (UTC)] info/application	[Sensor] Updated distance: 24.55637291379104 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:03.798 (UTC)] info/application	[Sensor] Updated distance: 44.96359299633819 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:04.800 (UTC)] info/application	[Sensor] Updated distance: 32.50531120528714 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:05.802 (UTC)] info/application	[Sensor] Updated distance: 7.943266342367635 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:06.805 (UTC)] info/application	[Sensor] Updated distance: 14.296555718545129 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:07.807 (UTC)] info/application	[Sensor] Updated distance: 27.110477749775384 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:08.799 (UTC)] info/application	[Sensor] Updated distance: 24.675241823622603 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:09.801 (UTC)] info/application	[Sensor] Updated distance: 12.75857002789088 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:10.803 (UTC)] info/application	[Sensor] Updated distance: 36.65108259145686 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:11.806 (UTC)] info/application	[Sensor] Updated distance: 26.633653518107558 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:12.798 (UTC)] info/application	[Sensor] Updated distance: 26.197875086310262 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:13.800 (UTC)] info/application	[Sensor] Updated distance: 11.401501950529171 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:14.801 (UTC)] info/application	[Sensor] Updated distance: 48.71060573249618 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:15.803 (UTC)] info/application	[Sensor] Updated distance: 39.20477564130201 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:16.806 (UTC)] info/application	[Sensor] Updated distance: 45.81060639573755 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:17.798 (UTC)] info/application	[Sensor] Updated distance: 13.09569493452818 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:18.801 (UTC)] info/application	[Sensor] Updated distance: 7.664598236635606 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:19.803 (UTC)] info/application	[Sensor] Updated distance: 4.438919873181227 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:20.805 (UTC)] info/application	[Sensor] Updated distance: 5.793431782998811 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:21.807 (UTC)] info/application	[Sensor] Updated distance: 42.843995381539685 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:22.799 (UTC)] info/application	[Sensor] Updated distance: 3.6832405858129453 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:23.801 (UTC)] info/application	[Sensor] Updated distance: 44.21595803378893 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:24.803 (UTC)] info/application	[Sensor] Updated distance: 8.759550857711375 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:25.805 (UTC)] info/application	[Sensor] Updated distance: 42.689254630677986 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:26.807 (UTC)] info/application	[Sensor] Updated distance: 48.45386055039887 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:27.800 (UTC)] info/application	[Sensor] Updated distance: 28.290514734708943 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:28.802 (UTC)] info/application	[Sensor] Updated distance: 21.344420822031992 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:29.805 (UTC)] info/application	[Sensor] Updated distance: 16.5257582955648 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 16:10:30.807 (UTC)] info/application	[Sensor] Updated distance: 19.547783233946088 cm | Severity=75 | SourceName=Sensor3 | EventType=application
