[2026-08-16 20:34:23.483 (UTC)] info/application	[Sensor] Updated distance: 25.260769981081 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:24.483 (UTC)] info/application	[Sensor] Updated distance: 26.6105951057331 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:25.483 (UTC)] info/application	[Sensor] Updated distance: 27.6654557435147 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:26.483 (UTC)] info/application	[Sensor] Updated distance: 26.6987381042907 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:27.483 (UTC)] info/application	[Sensor] Updated distance: 27.5466548151088 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:28.484 (UTC)] info/application	[Sensor] Updated distance: 26.1247369049232 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:29.484 (UTC)] info/application	[Sensor] Updated distance: 26.6238001857995 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:30.484 (UTC)] info/application	[Sensor] Updated distance: 27.5641621835829 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:31.483 (UTC)] info/application	[Sensor] Updated distance: 27.1474358142109 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:32.483 (UTC)] info/application	[Sensor] Updated distance: 25.9083392780313 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:33.483 (UTC)] info/application	[Sensor] Updated distance: 27.3197001811674 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:34.483 (UTC)] info/application	[Sensor] Updated distance: 25.8644551925196 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:35.484 (UTC)] info/application	[Sensor] Updated distance: 25.0103352461058 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:36.484 (UTC)] info/application	[Sensor] Updated distance: 23.9705930037753 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:37.483 (UTC)] info/application	[Sensor] Updated distance: 23.0983327497255 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:38.483 (UTC)] info/application	[Sensor] Updated distance: 23.7122679796127 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:39.483 (UTC)] info/application	[Sensor] Updated distance: 22.4804478504138 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:40.484 (UTC)] info/application	[Sensor] Updated distance: 23.199178173998 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:41.483 (UTC)] info/application	[Sensor] Updated distance: 22.0152199524526 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:42.483 (UTC)] info/application	[Sensor] Updated distance: 21.2646833573304 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:43.483 (UTC)] info/application	[Sensor] Updated distance: 21.3406740959458 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:44.485 (UTC)] info/application	[Sensor] Updated distance: 22.0303363425333 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:45.485 (UTC)] info/application	[Sensor] Updated distance: 21.3524408882262 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:46.484 (UTC)] info/application	[Sensor] Updated distance: 21.1144515157745 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:47.483 (UTC)] info/application	[Sensor] Updated distance: 20.9008154528685 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:48.483 (UTC)] info/application	[Sensor] Updated distance: 20.5633610207883 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:49.483 (UTC)] info/application	[Sensor] Updated distance: 21.6265307565343 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:50.483 (UTC)] info/application	[Sensor] Updated distance: 21.9729289531116 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:51.484 (UTC)] info/application	[Sensor] Updated distance: 21.7738300551539 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:52.484 (UTC)] info/application	[Sensor] Updated distance: 20.9678253566231 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:53.483 (UTC)] info/application	[Sensor] Updated distance: 20.8549149007792 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:54.484 (UTC)] info/application	[Sensor] Updated distance: 20.2455201660029 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:55.484 (UTC)] info/application	[Sensor] Updated distance: 19.2893405907272 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:56.484 (UTC)] info/application	[Sensor] Updated distance: 18.731290771268 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:57.484 (UTC)] info/application	[Sensor] Updated distance: 18.6551783972677 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:58.485 (UTC)] info/application	[Sensor] Updated distance: 20.0469155328101 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:34:59.485 (UTC)] info/application	[Sensor] Updated distance: 19.5669478045623 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:00.485 (UTC)] info/application	[Sensor] Updated distance: 18.4898987100413 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:01.486 (UTC)] info/application	[Sensor] Updated distance: 19.3219978433671 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:02.486 (UTC)] info/application	[Sensor] Updated distance: 19.9253037457472 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:03.487 (UTC)] info/application	[Sensor] Updated distance: 19.1091581150466 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:04.487 (UTC)] info/application	[Sensor] Updated distance: 19.8526181501116 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:05.487 (UTC)] info/application	[Sensor] Updated distance: 20.5006790638439 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:06.488 (UTC)] info/application	[Sensor] Updated distance: 20.3304134867296 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:07.488 (UTC)] info/application	[Sensor] Updated distance: 21.5341312794639 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:08.488 (UTC)] info/application	[Sensor] Updated distance: 22.8099319405434 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:09.488 (UTC)] info/application	[Sensor] Updated distance: 21.7536015933164 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:10.489 (UTC)] info/application	[Sensor] Updated distance: 23.2254992568519 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:11.489 (UTC)] info/application	[Sensor] Updated distance: 23.7200302401185 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:12.490 (UTC)] info/application	[Sensor] Updated distance: 22.979741671346 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:13.490 (UTC)] info/application	[Sensor] Updated distance: 22.2011027397593 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:14.490 (UTC)] info/application	[Sensor] Updated distance: 21.2716244616414 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:15.489 (UTC)] info/application	[Sensor] Updated distance: 22.7209981408534 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:16.490 (UTC)] info/application	[Sensor] Updated distance: 22.7644637549596 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:17.490 (UTC)] info/application	[Sensor] Updated distance: 23.0969961043899 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:18.490 (UTC)] info/application	[Sensor] Updated distance: 22.832733719299 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:19.490 (UTC)] info/application	[Sensor] Updated distance: 24.038744901325 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:20.490 (UTC)] info/application	[Sensor] Updated distance: 23.9344469851043 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:21.489 (UTC)] info/application	[Sensor] Updated distance: 22.5165827951937 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:22.489 (UTC)] info/application	[Sensor] Updated distance: 22.023495077865 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:23.489 (UTC)] info/application	[Sensor] Updated distance: 22.6131924631136 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:24.489 (UTC)] info/application	[Sensor] Updated distance: 22.5824178173591 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:25.489 (UTC)] info/application	[Sensor] Updated distance: 22.979935365254 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:26.490 (UTC)] info/application	[Sensor] Updated distance: 24.1134531766239 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:27.489 (UTC)] info/application	[Sensor] Updated distance: 25.0246287128072 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:28.489 (UTC)] info/application	[Sensor] Updated distance: 23.8460338867018 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:29.490 (UTC)] info/application	[Sensor] Updated distance: 24.8712888322171 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:30.490 (UTC)] info/application	[Sensor] Updated distance: 23.8024966387555 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:31.491 (UTC)] info/application	[Sensor] Updated distance: 23.0468527181292 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:32.490 (UTC)] info/application	[Sensor] Updated distance: 23.4042067955733 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:33.491 (UTC)] info/application	[Sensor] Updated distance: 24.4387205044919 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:34.491 (UTC)] info/application	[Sensor] Updated distance: 24.366930954562 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:35.491 (UTC)] info/application	[Sensor] Updated distance: 23.9677450670711 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:36.491 (UTC)] info/application	[Sensor] Updated distance: 24.150319689722 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:37.481 (UTC)] info/application	[Sensor] Updated distance: 25.4082645626777 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:38.482 (UTC)] info/application	[Sensor] Updated distance: 24.7127964665242 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:39.482 (UTC)] info/application	[Sensor] Updated distance: 24.6711717488576 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:40.483 (UTC)] info/application	[Sensor] Updated distance: 23.3727862731893 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:41.483 (UTC)] info/application	[Sensor] Updated distance: 22.6492158405712 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:42.483 (UTC)] info/application	[Sensor] Updated distance: 21.6021221047743 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:43.484 (UTC)] info/application	[Sensor] Updated distance: 21.0634480617305 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:44.484 (UTC)] info/application	[Sensor] Updated distance: 21.0612386975257 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:45.484 (UTC)] info/application	[Sensor] Updated distance: 20.5846666836108 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:46.484 (UTC)] info/application	[Sensor] Updated distance: 19.995366318382 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:47.484 (UTC)] info/application	[Sensor] Updated distance: 18.5366225668865 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:48.484 (UTC)] info/application	[Sensor] Updated distance: 19.8925829037989 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:49.484 (UTC)] info/application	[Sensor] Updated distance: 20.5390201534792 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:50.484 (UTC)] info/application	[Sensor] Updated distance: 21.7862875840097 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:51.484 (UTC)] info/application	[Sensor] Updated distance: 21.5379500033045 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:52.484 (UTC)] info/application	[Sensor] Updated distance: 22.2665230630741 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:53.485 (UTC)] info/application	[Sensor] Updated distance: 21.5207027748789 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:54.485 (UTC)] info/application	[Sensor] Updated distance: 20.3620625794223 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:55.485 (UTC)] info/application	[Sensor] Updated distance: 19.5598609920404 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:56.485 (UTC)] info/application	[Sensor] Updated distance: 20.7115582517402 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:57.485 (UTC)] info/application	[Sensor] Updated distance: 22.1864358676534 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:58.485 (UTC)] info/application	[Sensor] Updated distance: 20.7954098150578 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:35:59.485 (UTC)] info/application	[Sensor] Updated distance: 22.2685122486523 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:00.486 (UTC)] info/application	[Sensor] Updated distance: 23.2686448086838 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:01.487 (UTC)] info/application	[Sensor] Updated distance: 22.3088265626267 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:02.487 (UTC)] info/application	[Sensor] Updated distance: 21.5262850755948 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:03.488 (UTC)] info/application	[Sensor] Updated distance: 21.3837717130705 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:04.488 (UTC)] info/application	[Sensor] Updated distance: 19.9584671759319 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 20:36:05.488 (UTC)] info/application	[Sensor] Updated distance: 20.6041361389701 cm | Severity=75 | SourceName=Sensor3 | EventType=application
