[2026-08-16 20:18:29.257 (UTC)] info/application	[Sensor] Updated distance: 27.7281275520698 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:30.257 (UTC)] info/application	[Sensor] Updated distance: 27.22725790121 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:31.257 (UTC)] info/application	[Sensor] Updated distance: 26.8909814226865 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:32.256 (UTC)] info/application	[Sensor] Updated distance: 26.8218405415871 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:33.256 (UTC)] info/application	[Sensor] Updated distance: 26.884973647485 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:34.256 (UTC)] info/application	[Sensor] Updated distance: 25.8004540099299 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:35.255 (UTC)] info/application	[Sensor] Updated distance: 26.81419197601 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:36.255 (UTC)] info/application	[Sensor] Updated distance: 28.0860148722241 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:37.255 (UTC)] info/application	[Sensor] Updated distance: 26.7479547279645 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:38.255 (UTC)] info/application	[Sensor] Updated distance: 25.3728098952551 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:39.254 (UTC)] info/application	[Sensor] Updated distance: 24.0509399753301 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:40.255 (UTC)] info/application	[Sensor] Updated distance: 24.8026874830493 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:41.255 (UTC)] info/application	[Sensor] Updated distance: 24.8339502587141 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:42.255 (UTC)] info/application	[Sensor] Updated distance: 25.0510821675654 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:43.256 (UTC)] info/application	[Sensor] Updated distance: 24.9964483897185 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:44.256 (UTC)] info/application	[Sensor] Updated distance: 25.0564177937603 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 20:18:45.256 (UTC)] info/application	[Sensor] Updated distance: 23.8359313778747 cm | Severity=75 | SourceName=Sensor2 | EventType=application
