[2026-08-16 01:08:56.558 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-15 17:09:15.684 (UTC)] info/application	[Sensor] Updated distance: 20.468290412085263 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:16.687 (UTC)] info/application	[Sensor] Updated distance: 25.473701718949574 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:17.690 (UTC)] info/application	[Sensor] Updated distance: 26.63278005674145 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:18.682 (UTC)] info/application	[Sensor] Updated distance: 38.39939611609997 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:19.684 (UTC)] info/application	[Sensor] Updated distance: 10.71013973313856 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:20.686 (UTC)] info/application	[Sensor] Updated distance: 27.473193947911817 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:21.689 (UTC)] info/application	[Sensor] Updated distance: 8.177807170049197 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:22.681 (UTC)] info/application	[Sensor] Updated distance: 3.951904029563025 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:23.683 (UTC)] info/application	[Sensor] Updated distance: 29.995205326003582 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:24.685 (UTC)] info/application	[Sensor] Updated distance: 11.71829414820219 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:25.688 (UTC)] info/application	[Sensor] Updated distance: 42.90472077247906 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:26.690 (UTC)] info/application	[Sensor] Updated distance: 31.537856540427473 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:27.682 (UTC)] info/application	[Sensor] Updated distance: 13.37056699924663 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:28.684 (UTC)] info/application	[Sensor] Updated distance: 34.42167618890371 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:29.687 (UTC)] info/application	[Sensor] Updated distance: 47.11552515491635 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:30.689 (UTC)] info/application	[Sensor] Updated distance: 34.04978495838576 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:31.691 (UTC)] info/application	[Sensor] Updated distance: 26.364996534010857 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-15 17:09:32.683 (UTC)] info/application	[Sensor] Updated distance: 45.87718465732279 cm | Severity=75 | SourceName=Sensor3 | EventType=application
