[2026-08-17 00:47:02.827 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-17 00:47:02.827 (UTC+0800)] [32minfo/server[0m	AccessControl: Anonymous login is enabled
[2026-08-17 00:47:02.828 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-17 00:47:03.229 (UTC+0800)] [33mwarn/application[0m	ServerUrls already set. Overriding.
[2026-08-17 00:47:03.230 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-17 00:47:03.230 (UTC+0800)] [32minfo/server[0m	AccessControl: Anonymous login is enabled
[2026-08-17 00:47:03.230 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-17 00:47:03.230 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-16 16:47:03.230 (UTC)] info/application	Sensor Server online (Client/Server mode, id=3 port=4844) | Severity=75 | SourceName=Sensor3 | EventType=application
Entering background polling mode: attempting to connect to Aggregation Server...
Connected successfully. Log forwarding started.
[2026-08-16 16:47:04.232 (UTC)] info/application	[Sensor] Updated distance: 25.777138827032 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-16 16:47:04.813 (UTC)] info/network	[System] TCP 16	| Connection opened from "127.0.0.1" via the server socket 8 | Severity=75 | SourceName=System | EventType=network
[2026-08-16 16:47:04.813 (UTC)] info/channel	[System] TCP 16	| SC 1	| SecureChannel created | Severity=75 | SourceName=System | EventType=channel
[2026-08-16 16:47:04.835 (UTC)] info/channel	[System] TCP 16	| SC 1	| OpenSecureChannel: Channel opened with SecurityMode None for SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None and a revised lifetime of 600.0s | Severity=75 | SourceName=System | EventType=channel
[2026-08-16 16:47:04.855 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-16 16:47:04.855 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-16 16:47:04.866 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-16 16:47:04.866 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-16 16:47:04.868 (UTC)] info/session	[System] TCP 16	| SC 1	| Session "ns=1;g=31d47d62-3f5b-aad3-bf9b-b97b4b34e34e"	| Session created | Severity=75 | SourceName=System | EventType=session
[2026-08-16 16:47:04.878 (UTC)] info/session	[System] TCP 16	| SC 1	| Session "ns=1;g=31d47d62-3f5b-aad3-bf9b-b97b4b34e34e"	| ActivateSession: Session activated with ClientUserId "" | Severity=75 | SourceName=System | EventType=session
[2026-08-16 16:47:05.237 (UTC)] info/application	[Sensor] Updated distance: 25.4679738154951 cm | Severity=75 | SourceName=Sensor3 | EventType=application
