[2026-08-17 03:19:08.364 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-17 03:19:08.365 (UTC+0800)] [32minfo/server[0m	AccessControl: Anonymous login is enabled
[2026-08-17 03:19:08.365 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-17 03:19:08.399 (UTC+0800)] [33mwarn/application[0m	ServerUrls already set. Overriding.
[2026-08-17 03:19:08.399 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-17 03:19:08.399 (UTC+0800)] [32minfo/server[0m	AccessControl: Anonymous login is enabled
[2026-08-17 03:19:08.399 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-17 03:19:08.399 (UTC+0800)] [33mwarn/server[0m	x509 Certificate Authentication configured, but no encrypting SecurityPolicy. This can leak credentials on the network.
[2026-08-16 19:19:08.399 (UTC)] info/application	Sensor Server online (Client/Server mode, id=2 port=4843) | Severity=75 | SourceName=Sensor2 | EventType=application
Entering background polling mode: attempting to connect to Aggregation Server...
Connected successfully. Log forwarding started.
[2026-08-16 19:19:09.405 (UTC)] info/application	[Sensor] Updated distance: 25.9871155486848 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 19:19:10.373 (UTC)] info/network	[System] TCP 16	| Connection opened from "127.0.0.1" via the server socket 8 | Severity=75 | SourceName=System | EventType=network
[2026-08-16 19:19:10.373 (UTC)] info/channel	[System] TCP 16	| SC 1	| SecureChannel created | Severity=75 | SourceName=System | EventType=channel
[2026-08-16 19:19:10.394 (UTC)] info/channel	[System] TCP 16	| SC 1	| OpenSecureChannel: Channel opened with SecurityMode None for SecurityPolicy http://opcfoundation.org/UA/SecurityPolicy#None and a revised lifetime of 600.0s | Severity=75 | SourceName=System | EventType=channel
[2026-08-16 19:19:10.404 (UTC)] info/application	[Sensor] Updated distance: 25.9430460771281 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 19:19:10.414 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-16 19:19:10.414 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-16 19:19:10.424 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-16 19:19:10.424 (UTC)] warn/client	[System] Removing a UserTokenPolicy that would allow the password to be transmitted without encryption (Can be enabled via config->allowNonePolicyPassword) | Severity=175 | SourceName=System | EventType=client
[2026-08-16 19:19:10.425 (UTC)] info/session	[System] TCP 16	| SC 1	| Session "ns=1;g=f9ed1fb1-6f4a-b972-32d3-ed8ef04f1431"	| Session created | Severity=75 | SourceName=System | EventType=session
[2026-08-16 19:19:10.435 (UTC)] info/session	[System] TCP 16	| SC 1	| Session "ns=1;g=f9ed1fb1-6f4a-b972-32d3-ed8ef04f1431"	| ActivateSession: Session activated with ClientUserId "" | Severity=75 | SourceName=System | EventType=session
[2026-08-16 19:19:10.820 (UTC)] info/session	[System] TCP 16	| SC 1	| Session "ns=1;g=f9ed1fb1-6f4a-b972-32d3-ed8ef04f1431"	| Subscription 1 | Subscription created (Publishing interval 500.0ms, max 1000 notifications per publish) | Severity=75 | SourceName=System | EventType=session
[2026-08-16 19:19:10.831 (UTC)] info/session	[System] TCP 16	| SC 1	| Session "ns=1;g=f9ed1fb1-6f4a-b972-32d3-ed8ef04f1431"	| Subscription 1 | MonitoredItem 1 | Created the MonitoredItem (Sampling Interval: 250.0ms, Queue Size: 1) | Severity=75 | SourceName=System | EventType=session
[2026-08-16 19:19:11.406 (UTC)] info/application	[Sensor] Updated distance: 25.1712407505471 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 19:19:12.406 (UTC)] info/application	[Sensor] Updated distance: 25.408338897586 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 19:19:13.490 (UTC)] info/application	[Sensor] Updated distance: 24.631688287543 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 19:19:14.399 (UTC)] info/application	[Sensor] Updated distance: 24.5123522004636 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 19:19:15.399 (UTC)] info/application	[Sensor] Updated distance: 23.580787948836 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 19:19:16.399 (UTC)] info/application	[Sensor] Updated distance: 24.4621406246266 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 19:19:17.399 (UTC)] info/application	[Sensor] Updated distance: 24.3902643471445 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 19:19:18.399 (UTC)] info/application	[Sensor] Updated distance: 25.764149347676 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 19:19:19.400 (UTC)] info/application	[Sensor] Updated distance: 25.299168019462 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 19:19:20.400 (UTC)] info/application	[Sensor] Updated distance: 25.2278647903483 cm | Severity=75 | SourceName=Sensor2 | EventType=application
[2026-08-16 19:19:21.399 (UTC)] info/application	[Sensor] Updated distance: 25.9953273578991 cm | Severity=75 | SourceName=Sensor2 | EventType=application
